,latitude,longitude,speeds
627,52.56508,13.30972,3.0
628,52.565,13.30978,3.0
629,52.56492,13.30983,3.0
630,52.56478,13.3099,3.0
631,52.56441,13.31002,3.0
632,52.56441,13.31002,3.0
633,52.56398,13.31015,3.0
634,52.5634,13.31032,3.0
635,52.5634,13.31032,3.0
636,52.5627,13.31053,3.0
637,52.5627,13.31053,3.0
638,52.5624,13.3106,3.0
639,52.5624,13.3106,3.0
640,52.56186,13.31076,3.0
641,52.56153,13.31084,3.0
642,52.56134,13.31087,3.0
643,52.56107,13.31091,3.0
644,52.56072,13.31092,3.0
645,52.56047,13.31089,3.0
646,52.56032,13.31087,3.0
647,52.56007,13.31082,3.0
648,52.55984,13.31075,3.0
649,52.55984,13.31075,3.0
650,52.5596,13.31066,3.0
651,52.55934,13.31052,3.0
652,52.55911,13.31038,3.0
653,52.55895,13.31027,3.0
654,52.55877,13.31013,3.0
655,52.55848,13.30987,3.0
656,52.55848,13.30987,3.0
657,52.55815,13.3096,3.0
658,52.55815,13.3096,3.0
659,52.55792,13.30938,3.0
660,52.55792,13.30938,3.0
661,52.5576,13.30907,3.0
662,52.55657,13.3081,3.0
663,52.55657,13.3081,3.0
664,52.55641,13.30795,3.0
665,52.55517,13.30678,3.0
666,52.55517,13.30678,3.0
667,52.55449,13.30613,3.0
668,52.55388,13.30553,3.0
669,52.55373,13.30538,3.0
670,52.55373,13.30538,3.0
671,52.55309,13.30478,3.0
672,52.55309,13.30478,3.0
673,52.55299,13.30468,3.0
674,52.55299,13.30468,3.0
675,52.55279,13.30449,3.0
676,52.55279,13.30449,3.0
677,52.55246,13.3042,3.0
678,52.55246,13.3042,3.0
679,52.55235,13.3041,3.0
680,52.55197,13.30376,3.0
681,52.5519,13.3037,3.0
682,52.5519,13.3037,3.0
683,52.55183,13.30364,3.0
684,52.55148,13.30333,3.0
685,52.5512,13.30308,3.0
686,52.5512,13.30308,3.0
687,52.55082,13.30275,3.0
688,52.55082,13.30275,3.0
689,52.55033,13.30234,3.0
690,52.55024,13.30226,3.0
691,52.55006,13.30211,3.0
692,52.55006,13.30211,3.0
693,52.54985,13.30194,3.0
694,52.54952,13.30167,3.0
695,52.54952,13.30167,3.0
696,52.54904,13.30127,3.0
697,52.54895,13.3012,3.0
698,52.54881,13.30108,3.0
699,52.54881,13.30108,3.0
700,52.54874,13.30103,3.0
701,52.5487,13.301,3.0
702,52.5487,13.301,3.0
703,52.5482,13.3006,3.0
704,52.54804,13.30047,3.0
705,52.54794,13.30039,3.0
706,52.54794,13.30039,3.0
707,52.54782,13.30029,3.0
708,52.54782,13.30029,3.0
709,52.54755,13.30007,3.0
710,52.54755,13.30007,3.0
711,52.54723,13.29981,3.0
712,52.54707,13.29969,3.0
713,52.54707,13.29969,3.0
714,52.5466,13.29931,3.0
715,52.54628,13.29904,3.0
716,52.54628,13.29904,3.0
717,52.54596,13.29879,3.0
718,52.54596,13.29879,3.0
719,52.54565,13.29853,3.0
720,52.54549,13.29841,3.0
721,52.54519,13.29816,3.0
722,52.54519,13.29816,3.0
723,52.54502,13.29805,3.0
724,52.54471,13.29783,3.0
725,52.54455,13.29772,3.0
726,52.54423,13.29752,3.0
727,52.54423,13.29752,3.0
728,52.54375,13.29725,3.0
729,52.54326,13.29699,3.0
730,52.54326,13.29699,3.0
731,52.54308,13.2969,3.0
732,52.54308,13.2969,3.0
733,52.54283,13.29676,3.0
734,52.54283,13.29676,3.0
735,52.54279,13.29674,3.0
736,52.54267,13.29668,3.0
737,52.54267,13.29668,3.0
738,52.5422,13.29644,3.0
739,52.5422,13.29644,3.0
740,52.54148,13.29605,3.0
741,52.54148,13.29605,3.0
742,52.5399,13.29519,3.0
743,52.53964,13.29506,3.0
744,52.53964,13.29506,3.0
745,52.53835,13.29435,3.0
746,52.53835,13.29435,3.0
747,52.53728,13.29378,3.0
748,52.53728,13.29378,3.0
749,52.53673,13.29348,3.0
750,52.53673,13.29348,3.0
751,52.53668,13.29345,3.0
752,52.53668,13.29345,3.0
753,52.53644,13.29332,3.0
754,52.53644,13.29332,3.0
755,52.5362,13.29319,3.0
756,52.5362,13.29319,3.0
757,52.53595,13.29306,3.0
758,52.53581,13.29298,3.0
759,52.53577,13.29296,3.0
760,52.53577,13.29296,3.0
761,52.5355,13.29281,3.0
762,52.5355,13.29281,3.0
763,52.53534,13.29273,3.0
764,52.53534,13.29273,3.0
765,52.53529,13.2927,3.0
766,52.53506,13.29255,3.0
767,52.53484,13.29239,3.0
768,52.53484,13.29239,3.0
769,52.53458,13.29215,3.0
770,52.53442,13.29197,3.0
771,52.53434,13.29187,3.0
772,52.53418,13.29168,3.0
773,52.5341,13.29154,3.0
774,52.5339,13.29116,3.0
775,52.53365,13.29058,3.0
776,52.53365,13.29058,3.0
777,52.53331,13.28957,3.0
778,52.53189,13.28614,3.0
779,52.53201,13.28645,3.0
780,52.5321,13.28668,3.0
781,52.5322,13.28697,3.0
782,52.53231,13.28728,3.0
783,52.53231,13.28728,3.0
784,52.53245,13.28768,3.0
785,52.53245,13.28768,3.0
786,52.53254,13.28796,3.0
